,id,lonlat,tags.power,tags.substation,Type,Area,tags.voltage,tags.frequency,Country
151,499897446.0,"[30.565117729316928, 31.214486098276645]",substation,,Way,19990.0,,,egypt
153,500449389.0,"[29.837296713719947, 30.95891669552337]",substation,,Way,1630.0,,,egypt
157,126280786.0,"[29.522378023549624, 30.888676594611027]",substation,transmission,Way,12300.0,220000;66000,,egypt
162,426825789.0,"[32.931904770865145, 24.62975753933359]",substation,,Way,1210.0,,,egypt
170,502403947.0,"[31.292706343969886, 29.866362745858556]",substation,,Way,18780.0,,,egypt
174,739814901.0,"[32.745506708708774, 24.41180727756059]",substation,,Way,75190.0,220000,,egypt
176,116612828.0,"[32.66028005000007, 25.734411600000055]",substation,transmission,Way,8160.0,220000,,egypt
178,276511906.0,"[34.27891786711554, 27.89381272563263]",substation,transmission,Way,39590.0,220000;66000,,egypt
184,130063953.0,"[31.103334995346145, 29.089839856850233]",substation,transmission,Way,38700.0,220000;66000,,egypt
185,127261542.0,"[30.652763397485675, 30.88124308128262]",substation,transmission,Way,18480.0,220000;66000,,egypt
190,499890416.0,"[30.66398289520642, 31.14011328349414]",substation,,Way,11760.0,,,egypt
200,427596550.0,"[33.18010906353754, 28.123954267980363]",substation,,Way,90510.0,,,egypt
202,499106599.0,"[31.378959152078192, 31.005470194391975]",substation,,Way,70670.0,,,egypt
205,97684511.0,"[33.71846875000015, 30.64291649999997]",substation,,Way,5270.0,,,egypt
208,500185474.0,"[31.252452979827044, 31.381245267151836]",substation,,Way,19170.0,,,egypt
211,499897441.0,"[30.88980730959418, 31.207778319441925]",substation,,Way,13800.0,,,egypt
212,501748200.0,"[31.19725882554272, 30.46146236719022]",substation,,Way,16790.0,,,egypt
214,500208165.0,"[29.847818589025103, 31.026716535516325]",substation,,Way,400.0,,,egypt
216,93650324.0,"[33.04946326852012, 31.01801446829087]",substation,transmission,Way,59600.0,220000,,egypt
218,501748204.0,"[31.180226537971876, 30.768753109568543]",substation,,Way,1240.0,,,egypt
219,501748210.0,"[31.31133625947076, 30.93612799378933]",substation,,Way,18550.0,,,egypt
225,501748211.0,"[30.46451896475166, 30.214270500086375]",substation,,Way,83760.0,,,egypt
227,117501054.0,"[30.83773095000003, 27.320606099999857]",substation,,Way,9350.0,,,egypt
228,500449350.0,"[29.618213415097923, 30.84877599964321]",substation,,Way,42620.0,,,egypt
230,502403976.0,"[31.298275900000117, 29.961077650000078]",substation,,Way,940.0,,,egypt
233,263292020.0,"[31.388174966270558, 22.80797845084132]",substation,transmission,Way,7510.0,,,egypt
240,99788079.0,"[33.921266474396226, 26.766541600142574]",substation,transmission,Way,54510.0,220000,,egypt
242,120204568.0,"[34.87554529999994, 29.486339899999994]",substation,converter,Way,4390.0,,,egypt
245,359167344.0,"[28.32798520155644, 22.270487728931947]",substation,,Way,17030.0,66000,,egypt
246,426596395.0,"[32.15975165547269, 26.13220616805538]",substation,transmission,Way,4900.0,,,egypt
247,498864693.0,"[31.11069557999873, 31.54332579561161]",substation,,Way,30490.0,,,egypt
249,499839326.0,"[30.630356471950304, 31.12526171085394]",substation,,Way,11560.0,,,egypt
251,426596402.0,"[32.00923469379324, 26.179842997336227]",substation,,Way,4550.0,,,egypt
253,499890419.0,"[30.829495479649765, 31.05375530062943]",substation,,Way,19070.0,,,egypt
256,610833665.0,"[31.169350141738036, 27.383745870083406]",substation,transmission,Way,56840.0,500000,,egypt
257,923817883.0,"[31.212860244679394, 29.06778994740651]",substation,,Way,38410.0,500000;220000,,egypt
261,498864695.0,"[31.604171920884163, 31.441208953994664]",substation,,Way,3720.0,,,egypt
262,426156915.0,"[31.224795999033432, 29.27365511796262]",substation,,Way,8320.0,,,egypt
264,500449335.0,"[30.443693216027444, 31.044151959216602]",substation,,Way,14950.0,,,egypt
269,499106581.0,"[31.67371112317835, 30.742161348753527]",substation,,Way,43480.0,,,egypt
